DATA_SPEC_VERSION=2015.2.2
"FC_RECORD_ID","SOURCE","OUTPUT_FREQ","INPUT_FREQ","STATE","CITY","LOCALE","CALL","SPONSOR","CTCSS_IN","CTCSS_OUT","DCS_CDCSS","DTMF","LINK","FM_WIDE","FM_NARROW","DSTAR_DV","DSTAR_DD","DMR","DMR_COLOR_CODE","FUSION","FUSION_DSQ","P25_PHASE_1","P25_PHASE_2","P25_NAC","NXDN_DIGITAL","NXDN_MIXED","NXDN_RAN","ATV","DATV","RACES","ARES","WX","URL","LATITUDE","LONGITUDE","EXPIRATION_DATE","COMMENT"
" 2050","WWARA","53.2900","51.5900","WA","West Seattle","SEATTLE","W7AW","West Seattle ARC","103.5","","","","","Y","N","N","N","N","","N","","N","N","","N","N","","N","N","N","N","N","http://www.westseattlearc.org","47.5405","-122.3777","",""
" 2052","WWARA","53.3900","51.6900","WA","Ashford","PUGET SOUND","K7DNR","DNR ARC","100","103.5","","","","Y","N","N","N","N","","N","","N","N","","N","N","","N","N","N","N","N","","46.834028","-122.01733","",""
" 3199","WWARA","145.4100","144.8100","WA","Crystal Mountain","PUGET SOUND","WB7DOB","WB7DOB","162.2","162.2","","","","Y","N","N","N","N","","N","","N","N","","N","N","","N","N","N","N","N","","46.938028","-121.50013","",""
" 3198","WWARA","146.6050","146.0050","WA","Cougar Mtn","KING COUNTY","W7RNK","KU7M","","","","","","N","N","Y","N","N","","N","","N","N","","N","N","","N","N","N","N","N","http://www.newcastle-dstar.com","47.542028","-122.10911","",""
" 3196","WWARA","146.8800","146.2800","WA","Cougar Mtn","PUGET SOUND","KF7BJI","KF7BJI","88.5","88.5","","","","Y","N","N","N","N","","N","","N","N","","N","N","","N","N","N","N","N","","47.54388","-122.10888","",""
" 3194","WWARA","146.9200","146.3200","WA","Mossyrock","LEWIS COUNTY","WA7LM","Lake Mayfield ARC","123","","","","","Y","N","N","N","N","","Y","016","N","N","","N","N","","N","N","N","N","N","http://www.wa7lm.org","46.501555","-122.57126","",""
" 3197","WWARA","147.1200","147.7200","WA","Everett","SNOHOMISH COUNTY- NORTH","KH6VM","KH6VM","103.5","103.5","","","","Y","N","N","N","N","","Y","023","N","N","","N","N","","N","N","N","N","N","","47.994586","-122.21898","",""
" 3200","WWARA","147.2000","147.8000","WA","Rattlesnake Mtn","WASHINGTON- WEST","K7MMI","PugetSoundMobileRelayGrp","131.8","131.8","","","","Y","N","N","N","N","","N","","N","N","","N","N","","N","N","N","N","N","http://www.kruml.com","47.468333","-122.8222","",""
" 4084","WWARA","224.0200","222.4200","WA","Shoreline","KING COUNTY- NORTH","W7AUX","City of Shoreline","103.5","103.5","","","","Y","N","N","N","N","","N","","N","N","","N","N","","N","N","N","N","N","","","","",""
" 4082","WWARA","224.2800","222.6800","WA","Boistfort","WASHINGTON- SW","W7WRG","K5IN","103.5","103.5","","","","Y","N","N","N","N","","N","","N","N","","N","N","","N","N","N","N","N","","46.487778","-123.21416","",""
" 4083","WWARA","224.8800","223.2800","WA","Green Mtn","WASHINGTON- SW","W7WRG","W7WRG","103.5","103.5","","","","Y","N","N","N","N","","N","","N","N","","N","N","","N","N","N","N","N","","46.013297","-122.7717","",""
