"FC_RECORD_ID","SOURCE","OUTPUT_FREQ","INPUT_FREQ","STATE","CITY","LOCALE","CALL","SPONSOR","CTCSS_IN","CTCSS_OUT","DCS_CDCSS","DTMF","LINK","FM_WIDE","FM_NARROW","DSTAR_DV","DSTAR_DD","DMR","DMR_COLOR_CODE","FUSION","FUSION_DSQ","P25_PHASE_1","P25_PHASE_2","P25_NAC","NXDN_DIGITAL","NXDN_MIXED","NXDN_RAN","ATV","DATV","RACES","ARES","WX","URL","LATITUDE","LONGITUDE","EXPIRATION_DATE","COMMENT"
" 2003","WWARA","52.9300","51.2300","WA","Baw Faw Peak","WASHINGTON- SW","K7CH","K7CH","100","100","","","","Y","N","N","N","N","","N","","N","N","","N","N","","N","N","N","N","N","","46.4882","-123.21481","2021-06-04",""
" 2015","WWARA","53.0100","51.3100","WA","University Place","PUGET SOUND- SOUTH","K7NP","UNIVERSITY PLACE RPTR GRP","100","","","","","Y","N","N","N","N","","N","","N","N","","N","N","","N","N","N","N","N","","","","2018-03-14",""
" 2026","WWARA","53.0300","51.3300","WA","South Mtn","PUGET SOUND- SOUTH","K7CH","K7CH","100","100","","","","Y","N","N","N","N","","N","","N","N","","N","N","","N","N","N","N","N","","47.316155","-123.35783","2021-06-04",""
" 2001","WWARA","53.0700","51.3700","WA","Redmond","REDMOND                  ","KC7IYE","KC7IYE","100","","","","","Y","N","N","N","N","","N","","N","N","","N","N","","N","N","N","N","N","","","","2015-12-02",""
" 2023","WWARA","53.0900","51.3900","WA","Lyman Hill","WASHINGTON- NW","W7UMH","5CECG","100","","","","","Y","N","N","N","N","","N","","N","N","","N","N","","N","N","N","N","N","","","","2017-01-07",""
" 2045","WWARA","53.0900","51.3900","WA","Shelton","MASON COUNTY","WB7OXJ","WB7OXJ","110.9","","","","","Y","N","N","N","N","","N","","N","N","","N","N","","N","N","N","N","N","","","","2018-09-24",""
" 2008","WWARA","53.1300","51.4300","WA","Everett","SNOHOMISH COUNTY","KF7T","KF7T","100","","","","","Y","N","N","N","N","","N","","N","N","","N","N","","N","N","N","N","N","","","","2020-03-20",""
" 2025","WWARA","53.1500","51.4500","WA","Tiger Mtn West","PUGET SOUND","K7CR","K7MO","100","","","","","Y","N","N","N","N","","N","","N","N","","N","N","","N","N","N","N","N","","","","2017-11-15",""
" 2024","WWARA","53.1900","51.4900","WA","Tacoma","TACOMA","K7HW","K7HW","100","","","","","Y","N","N","N","N","","N","","N","N","","N","N","","N","N","N","N","N","","","","2016-12-14",""
" 2041","WWARA","53.2100","51.5100","WA","Ferndale","WHATCOM COUNTY","NC7Q","NC7Q","103.5","","","","","Y","N","N","N","N","","N","","N","N","","N","N","","N","N","N","N","N","","","","2019-03-15",""
" 2049","WWARA","53.2300","51.5300","WA","Tiger Mtn East","PUGET SOUND","K7TGU","K7TGU","100","103.5","","","","Y","N","N","N","N","","N","","N","N","","N","N","","N","N","N","N","N","","47.48888","-121.94555","2021-07-10",""
