#,Tag,Freq,Mode,Scn Md,Step,Masked,RPT SH,Shift,TS/DCS,Tone,DCS,TX Pwr,Dev,Clk Sh,Icon
1,FRS 1,462.625,NFM,Off,12.5 KHz,False,SIMP,0.000,OFF,100.0,023,L1,NORM,OFF,13
2,FRS 2,462.875,NFM,Off,12.5 KHz,False,SIMP,0.000,OFF,100.0,023,L1,NORM,OFF,13
3,FRS 3,462.125,NFM,Off,12.5 KHz,False,SIMP,0.000,OFF,100.0,023,L1,NORM,OFF,13
4,FRS 4,462.375,NFM,Off,12.5 KHz,False,SIMP,0.000,OFF,100.0,023,L1,NORM,OFF,13
5,FRS 5,462.625,NFM,Off,12.5 KHz,False,SIMP,0.000,OFF,100.0,023,L1,NORM,OFF,13
6,FRS 6,462.875,NFM,Off,12.5 KHz,False,SIMP,0.000,OFF,100.0,023,L1,NORM,OFF,13
7,FRS 7,462.125,NFM,Off,12.5 KHz,False,SIMP,0.000,OFF,100.0,023,L1,NORM,OFF,13
8,FRS 8,467.625,NFM,Off,12.5 KHz,False,SIMP,0.000,OFF,100.0,023,L1,NORM,OFF,13
9,FRS 9,467.875,NFM,Off,12.5 KHz,False,SIMP,0.000,OFF,100.0,023,L1,NORM,OFF,13
10,FRS 10,467.125,NFM,Off,12.5 KHz,False,SIMP,0.000,OFF,100.0,023,L1,NORM,OFF,13
11,FRS 11,467.375,NFM,Off,12.5 KHz,False,SIMP,0.000,OFF,100.0,023,L1,NORM,OFF,13
12,FRS 12,467.625,NFM,Off,12.5 KHz,False,SIMP,0.000,OFF,100.0,023,L1,NORM,OFF,13
13,FRS 13,467.875,NFM,Off,12.5 KHz,False,SIMP,0.000,OFF,100.0,023,L1,NORM,OFF,13
14,FRS 14,467.125,NFM,Off,12.5 KHz,False,SIMP,0.000,OFF,100.0,023,L1,NORM,OFF,13
15,GMRS 1,462.55,NFM,Off,5 KHz,False,SIMP,0.000,OFF,100.0,023,MAX,NORM,OFF,13
