Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,REDDT,151.625000,,0.000000,,67.0,67.0,23,NN,NFM,5.00,,,,,
2,PURDT,151.955000,,0.000000,,67.0,67.0,23,NN,NFM,5.00,,,,,
3,BRNDT,464.500000,,0.000000,,67.0,67.0,23,NN,NFM,5.00,,,,,
4,YELDT,464.550000,,0.000000,,67.0,67.0,23,NN,NFM,5.00,,,,,
5,SILST,467.850000,,0.000000,,67.0,67.0,23,NN,NFM,5.00,,,,,
6,GLDST,467.875000,,0.000000,,67.0,67.0,23,NN,NFM,5.00,,,,,
7,REDST,467.900000,,0.000000,,67.0,67.0,23,NN,NFM,5.00,,,,,
8,BLUST,467.925000,,0.000000,,67.0,67.0,23,NN,NFM,5.00,,,,,
9,MURS1,151.820000,,0.000000,,67.0,67.0,23,NN,NFM,5.00,,,,,
10,MURS2,151.880000,,0.000000,,67.0,67.0,23,NN,NFM,5.00,,,,,
11,MURS3,151.940000,,0.000000,,67.0,67.0,23,NN,NFM,5.00,,,,,
12,MURS4,154.570000,,0.000000,,67.0,67.0,23,NN,FM,5.00,,,,,
13,MURS5,154.600000,,0.000000,,67.0,67.0,23,NN,FM,5.00,,,,,
14,FRS1,462.562500,,0.000000,,67.0,67.0,23,NN,NFM,12.50,,,,,
15,FRS2,462.587500,,0.000000,,67.0,67.0,23,NN,NFM,12.50,,,,,
16,FRS3,462.612500,,0.000000,,67.0,67.0,23,NN,NFM,12.50,,,,,
17,FRS4,462.637500,,0.000000,,67.0,67.0,23,NN,NFM,12.50,,,,,
18,FRS5,462.662500,,0.000000,,67.0,67.0,23,NN,NFM,12.50,,,,,
19,FRS6,462.687500,,0.000000,,67.0,67.0,23,NN,NFM,12.50,,,,,
20,FRS7,462.712500,,0.000000,,67.0,67.0,23,NN,NFM,12.50,,,,,
21,FRS8,467.562500,,0.000000,,67.0,67.0,23,NN,NFM,12.50,,,,,
22,FRS9,467.587500,,0.000000,,67.0,67.0,23,NN,NFM,12.50,,,,,
23,FRS10,467.612500,,0.000000,,67.0,67.0,23,NN,NFM,12.50,,,,,
24,FRS11,467.637500,,0.000000,,67.0,67.0,23,NN,NFM,12.50,,,,,
25,FRS12,467.662500,,0.000000,,67.0,67.0,23,NN,NFM,12.50,,,,,
26,FRS13,467.687500,,0.000000,,67.0,67.0,23,NN,NFM,12.50,,,,,
27,FRS14,467.712500,,0.000000,,67.0,67.0,23,NN,NFM,12.50,,,,,
28,GMR15,462.550000,,0.000000,,67.0,67.0,23,NN,FM,25.00,,,,,
29,GMR16,462.575000,,0.000000,,67.0,67.0,23,NN,FM,25.00,,,,,
30,GMR17,462.600000,,0.000000,,67.0,67.0,23,NN,FM,25.00,,,,,
31,GMR18,462.625000,,0.000000,,67.0,67.0,23,NN,FM,25.00,,,,,
32,GMR19,462.650000,,0.000000,,67.0,67.0,23,NN,FM,25.00,,,,,
33,GMR20,462.675000,,0.000000,,141.3,141.3,23,NN,FM,25.00,,,,,
34,GMR21,462.700000,,0.000000,,67.0,67.0,23,NN,FM,25.00,,,,,
